No,코드,세부 코드,시트 링크,최종 소개서,키워드 구분,과정 명,권장 대상,AX 단계,소요 시간,작성자,대표 사례,레퍼런스 기업,업종,교육대상,제작년도,소개서,상세 키워드,추가 제안,사업 url,비고
830,--,---786,,,,,,,0,,,,,,,,,,,
831,--,---787,,,,,,,0,,,,,,,,,,,
832,--,---788,,,,,,,0,,,,,,,,,,,
833,--,---789,,,,,,,0,,,,,,,,,,,
834,--,---790,,,,,,,0,,,,,,,,,,,
835,--,---791,,,,,,,0,,,,,,,,,,,
836,--,---792,,,,,,,0,,,,,,,,,,,
837,--,---793,,,,,,,0,,,,,,,,,,,
838,--,---794,,,,,,,0,,,,,,,,,,,
839,--,---795,,,,,,,0,,,,,,,,,,,
840,--,---796,,,,,,,0,,,,,,,,,,,
841,--,---797,,,,,,,0,,,,,,,,,,,
842,--,---798,,,,,,,0,,,,,,,,,,,
843,--,---799,,,,,,,0,,,,,,,,,,,
844,--,---800,,,,,,,0,,,,,,,,,,,
845,--,---801,,,,,,,0,,,,,,,,,,,
846,--,---802,,,,,,,0,,,,,,,,,,,
847,--,---803,,,,,,,0,,,,,,,,,,,
848,--,---804,,,,,,,0,,,,,,,,,,,
849,--,---805,,,,,,,0,,,,,,,,,,,
850,--,---806,,,,,,,0,,,,,,,,,,,
851,--,---807,,,,,,,0,,,,,,,,,,,
852,--,---808,,,,,,,0,,,,,,,,,,,
853,--,---809,,,,,,,0,,,,,,,,,,,
854,--,---810,,,,,,,0,,,,,,,,,,,
855,--,---811,,,,,,,0,,,,,,,,,,,
856,--,---812,,,,,,,0,,,,,,,,,,,
857,--,---813,,,,,,,0,,,,,,,,,,,
858,--,---814,,,,,,,0,,,,,,,,,,,
859,--,---815,,,,,,,0,,,,,,,,,,,
860,--,---816,,,,,,,0,,,,,,,,,,,
861,--,---817,,,,,,,0,,,,,,,,,,,
862,--,---818,,,,,,,0,,,,,,,,,,,
863,--,---819,,,,,,,0,,,,,,,,,,,
864,--,---820,,,,,,,0,,,,,,,,,,,
865,--,---821,,,,,,,0,,,,,,,,,,,
866,--,---822,,,,,,,0,,,,,,,,,,,
867,--,---823,,,,,,,0,,,,,,,,,,,
868,--,---824,,,,,,,0,,,,,,,,,,,
869,--,---825,,,,,,,0,,,,,,,,,,,
870,--,---826,,,,,,,0,,,,,,,,,,,
871,--,---827,,,,,,,0,,,,,,,,,,,
872,--,---828,,,,,,,0,,,,,,,,,,,
873,--,---829,,,,,,,0,,,,,,,,,,,
874,--,---830,,,,,,,0,,,,,,,,,,,
875,--,---831,,,,,,,0,,,,,,,,,,,
876,--,---832,,,,,,,0,,,,,,,,,,,
877,--,---833,,,,,,,0,,,,,,,,,,,
878,--,---834,,,,,,,0,,,,,,,,,,,
879,--,---835,,,,,,,0,,,,,,,,,,,
880,--,---836,,,,,,,0,,,,,,,,,,,
881,--,---837,,,,,,,0,,,,,,,,,,,
882,--,---838,,,,,,,0,,,,,,,,,,,
883,--,---839,,,,,,,0,,,,,,,,,,,
884,--,---840,,,,,,,0,,,,,,,,,,,
885,--,---841,,,,,,,0,,,,,,,,,,,
886,--,---842,,,,,,,0,,,,,,,,,,,
887,--,---843,,,,,,,0,,,,,,,,,,,
888,--,---844,,,,,,,0,,,,,,,,,,,
889,--,---845,,,,,,,0,,,,,,,,,,,
890,--,---846,,,,,,,0,,,,,,,,,,,
891,--,---847,,,,,,,0,,,,,,,,,,,
892,--,---848,,,,,,,0,,,,,,,,,,,
893,--,---849,,,,,,,0,,,,,,,,,,,
894,--,---850,,,,,,,0,,,,,,,,,,,
895,--,---851,,,,,,,0,,,,,,,,,,,
896,--,---852,,,,,,,0,,,,,,,,,,,
897,--,---853,,,,,,,0,,,,,,,,,,,
898,--,---854,,,,,,,0,,,,,,,,,,,
899,--,---855,,,,,,,0,,,,,,,,,,,
900,--,---856,,,,,,,0,,,,,,,,,,,
901,--,---857,,,,,,,0,,,,,,,,,,,
902,--,---858,,,,,,,0,,,,,,,,,,,
903,--,---859,,,,,,,0,,,,,,,,,,,
904,--,---860,,,,,,,0,,,,,,,,,,,
905,--,---861,,,,,,,0,,,,,,,,,,,
906,--,---862,,,,,,,0,,,,,,,,,,,
907,--,---863,,,,,,,0,,,,,,,,,,,
908,--,---864,,,,,,,0,,,,,,,,,,,
909,--,---865,,,,,,,0,,,,,,,,,,,
910,--,---866,,,,,,,0,,,,,,,,,,,
911,--,---867,,,,,,,0,,,,,,,,,,,
912,--,---868,,,,,,,0,,,,,,,,,,,
913,--,---869,,,,,,,0,,,,,,,,,,,
914,--,---870,,,,,,,0,,,,,,,,,,,
915,--,---871,,,,,,,0,,,,,,,,,,,
916,--,---872,,,,,,,0,,,,,,,,,,,
917,--,---873,,,,,,,0,,,,,,,,,,,
918,--,---874,,,,,,,0,,,,,,,,,,,
919,--,---875,,,,,,,0,,,,,,,,,,,
920,--,---876,,,,,,,0,,,,,,,,,,,
921,--,---877,,,,,,,0,,,,,,,,,,,
922,--,---878,,,,,,,0,,,,,,,,,,,
923,--,---879,,,,,,,0,,,,,,,,,,,
924,--,---880,,,,,,,0,,,,,,,,,,,
925,--,---881,,,,,,,0,,,,,,,,,,,
926,--,---882,,,,,,,0,,,,,,,,,,,
927,--,---883,,,,,,,0,,,,,,,,,,,
928,--,---884,,,,,,,0,,,,,,,,,,,
929,--,---885,,,,,,,0,,,,,,,,,,,
930,--,---886,,,,,,,0,,,,,,,,,,,
931,--,---887,,,,,,,0,,,,,,,,,,,
932,--,---888,,,,,,,0,,,,,,,,,,,
933,--,---889,,,,,,,0,,,,,,,,,,,
934,--,---890,,,,,,,0,,,,,,,,,,,
935,--,---891,,,,,,,0,,,,,,,,,,,
936,--,---892,,,,,,,0,,,,,,,,,,,
937,--,---893,,,,,,,0,,,,,,,,,,,
938,--,---894,,,,,,,0,,,,,,,,,,,
939,--,---895,,,,,,,0,,,,,,,,,,,
940,--,---896,,,,,,,0,,,,,,,,,,,
941,--,---897,,,,,,,0,,,,,,,,,,,
942,--,---898,,,,,,,0,,,,,,,,,,,
943,--,---899,,,,,,,0,,,,,,,,,,,
944,--,---900,,,,,,,0,,,,,,,,,,,
945,--,---901,,,,,,,0,,,,,,,,,,,
946,--,---902,,,,,,,0,,,,,,,,,,,
947,--,---903,,,,,,,0,,,,,,,,,,,
948,--,---904,,,,,,,0,,,,,,,,,,,
949,--,---905,,,,,,,0,,,,,,,,,,,
950,--,---906,,,,,,,0,,,,,,,,,,,
951,--,---907,,,,,,,0,,,,,,,,,,,
952,--,---908,,,,,,,0,,,,,,,,,,,
953,--,---909,,,,,,,0,,,,,,,,,,,
954,--,---910,,,,,,,0,,,,,,,,,,,
955,--,---911,,,,,,,0,,,,,,,,,,,
956,--,---912,,,,,,,0,,,,,,,,,,,
957,--,---913,,,,,,,0,,,,,,,,,,,
958,--,---914,,,,,,,0,,,,,,,,,,,
959,--,---915,,,,,,,0,,,,,,,,,,,
960,--,---916,,,,,,,0,,,,,,,,,,,
961,--,---917,,,,,,,0,,,,,,,,,,,
962,--,---918,,,,,,,0,,,,,,,,,,,
963,--,---919,,,,,,,0,,,,,,,,,,,
964,--,---920,,,,,,,0,,,,,,,,,,,
965,--,---921,,,,,,,0,,,,,,,,,,,
966,--,---922,,,,,,,0,,,,,,,,,,,
967,--,---923,,,,,,,0,,,,,,,,,,,
968,--,---924,,,,,,,0,,,,,,,,,,,
969,--,---925,,,,,,,0,,,,,,,,,,,
970,--,---926,,,,,,,0,,,,,,,,,,,
971,--,---927,,,,,,,0,,,,,,,,,,,
972,--,---928,,,,,,,0,,,,,,,,,,,
973,--,---929,,,,,,,0,,,,,,,,,,,
974,--,---930,,,,,,,0,,,,,,,,,,,
975,--,---931,,,,,,,0,,,,,,,,,,,
976,--,---932,,,,,,,0,,,,,,,,,,,
977,--,---933,,,,,,,0,,,,,,,,,,,
978,--,---934,,,,,,,0,,,,,,,,,,,
979,--,---935,,,,,,,0,,,,,,,,,,,
980,--,---936,,,,,,,0,,,,,,,,,,,
981,--,---937,,,,,,,0,,,,,,,,,,,
982,--,---938,,,,,,,0,,,,,,,,,,,
983,--,---939,,,,,,,0,,,,,,,,,,,
984,--,---940,,,,,,,0,,,,,,,,,,,
985,--,---941,,,,,,,0,,,,,,,,,,,
986,--,---942,,,,,,,0,,,,,,,,,,,
987,--,---943,,,,,,,0,,,,,,,,,,,
988,--,---944,,,,,,,0,,,,,,,,,,,
989,--,---945,,,,,,,0,,,,,,,,,,,
990,--,---946,,,,,,,0,,,,,,,,,,,
991,--,---947,,,,,,,0,,,,,,,,,,,
992,--,---948,,,,,,,0,,,,,,,,,,,
993,--,---949,,,,,,,0,,,,,,,,,,,
994,--,---950,,,,,,,0,,,,,,,,,,,
995,--,---951,,,,,,,0,,,,,,,,,,,
996,--,---952,,,,,,,0,,,,,,,,,,,
997,--,---953,,,,,,,0,,,,,,,,,,,
998,--,---954,,,,,,,0,,,,,,,,,,,
